Category,Message
spam,Congratulations! You won $500 Amazon Gift Card. Redeem at http://claim-now-win.com now before offer expires.
spam,"Earn $2,500 daily working from home. No experience needed. Details: http://bit.ly/exclusive-bonus"
spam,Exclusive deal! 95% off on luxury Keto Weight Loss Pills. Shop now at http://secure-verify-account.net
ham,Your order for monitor has been confirmed. Track your delivery online.
spam,Get cheap Keto Weight Loss Pills with free shipping worldwide! Order at http://secure-verify-account.net
ham,"Hi Laura, could you please help me with the unit test coverage when you have a moment?"
ham,"Hey Alex, are we still meeting at tomorrow morning for code review session?"
spam,Congratulations! You won Tesla Model 3. Redeem at http://secure-verify-account.net now before offer expires.
ham,Thank you for interviewing with our team yesterday. We were impressed with your experience and will follow up by Friday.
ham,"Hi team, please find attached the meeting notes for our project sync."
spam,FINAL NOTICE: Overdue payment for Netflix. Call 0906-778-900 to prevent legal action.
spam,FINAL NOTICE: Overdue payment for Apple ID. Call 0871-240-0010 to prevent legal action.
spam,"Earn $1,000 daily working from home. No experience needed. Details: http://cheap-deals-online.org"
ham,Your order for monitor has been confirmed. Track your delivery online.
spam,Get cheap Keto Weight Loss Pills with free shipping worldwide! Order at http://cheap-deals-online.org
ham,"Hi team, please find attached the sprint plan for our project sync."
ham,Your order for keyboard has been confirmed. Track your delivery online.
ham,Your order for coffee mug has been confirmed. Track your delivery online.
ham,"Hi team, please find attached the design mockups for our project sync."
ham,Thanks Laura for sending over the design mockups. It looks great!
ham,Thanks Sarah for sending over the financial summary. It looks great!
spam,Get cheap Designer Watches with free shipping worldwide! Order at http://claim-now-win.com
ham,Reminder: client demo is scheduled for Monday at 4:30 PM. See you there!
ham,Your order for book has been confirmed. Track your delivery online.
spam,ALERT: Your Apple ID account is blocked. Verify at http://claim-now-win.com immediately.
ham,Your order for monitor has been confirmed. Track your delivery online.
spam,Get cheap Designer Watches with free shipping worldwide! Order at http://bit.ly/exclusive-bonus
spam,"Claim your free $2,500 gift card today! Click http://cheap-deals-online.org to activate."
spam,"Claim your free $5,000 gift card today! Click http://cheap-deals-online.org to activate."
ham,Your order for monitor has been confirmed. Track your delivery online.
ham,Your order for coffee mug has been confirmed. Track your delivery online.
ham,"Hi all, please note that the office will be closed on Friday."
ham,"Hi all, please note that the office will be closed on Wednesday."
ham,"Hey Kevin, are we still meeting at 10:00 AM for team standup?"
ham,"Hey Daniel, are we still meeting at 2:00 PM for client demo?"
ham,Your order for book has been confirmed. Track your delivery online.
ham,"Hi David, can you review the sprint plan by 10:00 AM? Let me know your thoughts."
ham,Your order for keyboard has been confirmed. Track your delivery online.
ham,"Hey, do you happen to have the notes from yesterday's database design workshop?"
spam,URGENT: Verify your details to win Free Rolex Watch! Click http://secure-verify-account.net or call 1-800-555-0199
ham,"Hi team, please find attached the meeting notes for our project sync."
ham,"Hi team, please find attached the quarterly report for our project sync."
spam,FINAL NOTICE: Overdue payment for Netflix. Call 0871-240-0010 to prevent legal action.
spam,Congratulations! You won $500 Amazon Gift Card. Redeem at http://secure-verify-account.net now before offer expires.
ham,Your order for monitor has been confirmed. Track your delivery online.
ham,"Hi Alex, could you please help me with the unit test coverage when you have a moment?"
ham,Reminder: coffee break is scheduled for next Tuesday at 4:30 PM. See you there!
ham,"Hey David, are we still meeting at this afternoon for client demo?"
ham,"Hi team, please find attached the quarterly report for our project sync."
spam,Exclusive deal! 95% off on luxury Keto Weight Loss Pills. Shop now at http://claim-now-win.com
ham,"Hi Michael, could you please help me with the database migration when you have a moment?"
spam,"Earn $1,000 daily working from home. No experience needed. Details: http://claim-now-win.com"
ham,"Dear Customer, Your monthly bank statement for account ending in 4821 is now available in online banking."
ham,Reminder: coffee break is scheduled for Friday at tomorrow morning. See you there!
spam,Congratulations! You won $500 Amazon Gift Card. Redeem at http://bit.ly/exclusive-bonus now before offer expires.
ham,Reminder: coffee break is scheduled for Monday at 2:00 PM. See you there!
spam,FINAL NOTICE: Overdue payment for Apple ID. Call 0800-123-9988 to prevent legal action.
ham,"Hi Sarah, could you please help me with the documentation update when you have a moment?"
spam,URGENT: Reply YES to win Tesla Model 3! Click http://cheap-deals-online.org or call 1-800-555-0199
ham,"Hi team, please find attached the financial summary for our project sync."
spam,URGENT: Verify your details to win Free Rolex Watch! Click http://secure-verify-account.net or call 0871-240-0010
spam,ALERT: Your Bank of America account is blocked. Verify at http://cheap-deals-online.org immediately.
spam,Exclusive deal! 95% off on luxury Ray-Ban Sunglasses. Shop now at http://secure-verify-account.net
spam,Exclusive deal! 95% off on luxury Crypto Trading Bot. Shop now at http://bit.ly/exclusive-bonus
ham,"Hi all, please note that the office will be closed on Friday."
ham,Reminder: team standup is scheduled for Wednesday at 4:30 PM. See you there!
ham,Thanks Sarah for sending over the meeting notes. It looks great!
spam,ALERT: Your Apple ID account is blocked. Verify at http://secure-verify-account.net immediately.
ham,"Hi Kevin, can you review the financial summary by tomorrow morning? Let me know your thoughts."
ham,Reminder: coffee break is scheduled for Monday at this afternoon. See you there!
ham,"Hi team, please find attached the meeting notes for our project sync."
spam,Exclusive deal! 90% off on luxury Keto Weight Loss Pills. Shop now at http://secure-verify-account.net
ham,"Hi all, please note that the office will be closed on next Tuesday."
ham,Reminder: Your doctor appointment with Dr. Smith is scheduled for tomorrow at 10:00 AM. Reply C to confirm.
ham,Thanks John for sending over the financial summary. It looks great!
spam,"Claim your free $2,500 gift card today! Click http://bit.ly/exclusive-bonus to activate."
spam,Get cheap Keto Weight Loss Pills with free shipping worldwide! Order at http://cheap-deals-online.org
ham,"Hi Michael, could you please help me with the API bug fix when you have a moment?"
ham,"Hi all, please note that the office will be closed on next Tuesday."
spam,"Claim your free $1,000 gift card today! Click http://bit.ly/exclusive-bonus to activate."
ham,"Hi Sarah, can you review the quarterly report by 2:00 PM? Let me know your thoughts."
ham,"Hi Laura, could you please help me with the API bug fix when you have a moment?"
spam,Congratulations! You won 200 Free Bitcoin. Redeem at http://secure-verify-account.net now before offer expires.
spam,"Claim your free $1,000 gift card today! Click http://cheap-deals-online.org to activate."
spam,Get cheap Viagra & Cialis with free shipping worldwide! Order at http://bit.ly/exclusive-bonus
ham,Thanks for sending the presentation slides. I reviewed them and they look great. Just left a couple of minor comments.
spam,Get cheap Crypto Trading Bot with free shipping worldwide! Order at http://bit.ly/exclusive-bonus
spam,URGENT: Reply YES to win iPhone 15 Pro! Click http://bit.ly/exclusive-bonus or call 1-800-555-0199
spam,"Claim your free $5,000 gift card today! Click http://cheap-deals-online.org to activate."
ham,"Hey Laura, are we still meeting at 2:00 PM for team standup?"
spam,Congratulations! You won $500 Amazon Gift Card. Redeem at http://secure-verify-account.net now before offer expires.
spam,Claim your free iPhone 15 Pro Max today! You have been chosen in our annual tech giveaway. Click link to claim now!
spam,Get cheap Designer Watches with free shipping worldwide! Order at http://secure-verify-account.net
spam,WARNING: Virus detected on your Computer/Mobile! System compromised. Download antivirus repair tool immediately.
spam,Congratulations! You won Free Rolex Watch. Redeem at http://bit.ly/exclusive-bonus now before offer expires.
spam,Congratulations! You won $500 Amazon Gift Card. Redeem at http://bit.ly/exclusive-bonus now before offer expires.
spam,URGENT: Claim immediately to win $500 Amazon Gift Card! Click http://cheap-deals-online.org or call 0800-123-9988
ham,Thanks Alex for sending over the design mockups. It looks great!
ham,Reminder: coffee break is scheduled for Monday at this afternoon. See you there!
spam,ALERT: Your Wells Fargo account is blocked. Verify at http://cheap-deals-online.org immediately.
ham,Thanks David for sending over the financial summary. It looks great!
spam,Get cheap Keto Weight Loss Pills with free shipping worldwide! Order at http://claim-now-win.com
spam,Exclusive deal! 95% off on luxury Crypto Trading Bot. Shop now at http://claim-now-win.com
spam,"Earn $2,500 daily working from home. No experience needed. Details: http://bit.ly/exclusive-bonus"
ham,"Hi John, could you please help me with the UI alignment when you have a moment?"
ham,"Hey Emily, are we still meeting at this afternoon for coffee break?"
ham,Thanks Alex for sending over the financial summary. It looks great!
spam,"Claim your free $1,000 gift card today! Click http://claim-now-win.com to activate."
ham,Your order for book has been confirmed. Track your delivery online.
ham,Reminder: lunch is scheduled for next Tuesday at 2:00 PM. See you there!
spam,ALERT: Your Bank of America account is blocked. Verify at http://claim-now-win.com immediately.
ham,"Hey Emily, are we still meeting at 4:30 PM for coffee break?"
ham,"Hi Sarah, could you please help me with the unit test coverage when you have a moment?"
spam,ALERT: Your Netflix account is blocked. Verify at http://bit.ly/exclusive-bonus immediately.
ham,"Hey Kevin, are we still meeting at tomorrow morning for client demo?"
ham,"Dear Team, Please remember to submit your weekly timesheets by 5 PM today. Thank you for your cooperation."
ham,Reminder: coffee break is scheduled for Wednesday at 10:00 AM. See you there!
ham,Reminder: coffee break is scheduled for Monday at 10:00 AM. See you there!
spam,URGENT: Act now to win $500 Amazon Gift Card! Click http://claim-now-win.com or call 0906-778-900
spam,Congratulations! You won $500 Amazon Gift Card. Redeem at http://bit.ly/exclusive-bonus now before offer expires.
spam,Double your Bitcoins in 24 hours! Guaranteed return of 200%. Send your BTC to address 1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa now!
spam,URGENT: Verify your details to win $500 Amazon Gift Card! Click http://secure-verify-account.net or call 1-800-555-0199
ham,"Hi all, please note that the office will be closed on Wednesday."
ham,Reminder: team standup is scheduled for Monday at 4:30 PM. See you there!
ham,Your order for coffee mug has been confirmed. Track your delivery online.
spam,Earn $500 daily working from home. No experience needed. Details: http://bit.ly/exclusive-bonus
spam,"Claim your free $2,500 gift card today! Click http://claim-now-win.com to activate."
ham,"Hi Sarah, could you please help me with the API bug fix when you have a moment?"
ham,"Hi Laura, could you please help me with the UI alignment when you have a moment?"
ham,Reminder: code review session is scheduled for Friday at 2:00 PM. See you there!
spam,Congratulations! You won $500 Amazon Gift Card. Redeem at http://secure-verify-account.net now before offer expires.
ham,Your order for keyboard has been confirmed. Track your delivery online.
spam,Get cheap Ray-Ban Sunglasses with free shipping worldwide! Order at http://bit.ly/exclusive-bonus
spam,Claim your free $500 gift card today! Click http://cheap-deals-online.org to activate.
ham,"Hi everyone, the office will remain closed on Monday for the national holiday. Have a great long weekend!"
spam,Exclusive deal! 95% off on luxury Designer Watches. Shop now at http://bit.ly/exclusive-bonus
spam,Exclusive deal! 70% off on luxury Ray-Ban Sunglasses. Shop now at http://claim-now-win.com
ham,"Hi Alex, could you please help me with the database migration when you have a moment?"
ham,Thanks John for sending over the quarterly report. It looks great!
spam,FINAL NOTICE: Overdue payment for Amazon. Call 0906-778-900 to prevent legal action.
spam,FINAL NOTICE: Overdue payment for Bank of America. Call 0800-123-9988 to prevent legal action.
spam,FINAL NOTICE: Overdue payment for PayPal. Call 0906-778-900 to prevent legal action.
spam,Get cheap Designer Watches with free shipping worldwide! Order at http://claim-now-win.com
spam,"Unclaimed funds notice: State treasury holding $4,500 in your name. Verify identity to claim your check."
ham,"Hi team, please find attached the quarterly report for our project sync."
spam,ALERT: Your Bank of America account is blocked. Verify at http://claim-now-win.com immediately.
ham,"Hi Daniel, can you review the design mockups by 4:30 PM? Let me know your thoughts."
ham,Your order for monitor has been confirmed. Track your delivery online.
ham,"Hey Dave, happy birthday! Hope you have a wonderful day celebrating with family and friends."
ham,Your order for laptop stand has been confirmed. Track your delivery online.
ham,Your order for laptop stand has been confirmed. Track your delivery online.
ham,Thanks David for sending over the project proposal. It looks great!
spam,ALERT: Your Wells Fargo account is blocked. Verify at http://cheap-deals-online.org immediately.
spam,Get cheap Keto Weight Loss Pills with free shipping worldwide! Order at http://cheap-deals-online.org
ham,"Hi all, please note that the office will be closed on Wednesday."
spam,"Earn $5,000 daily working from home. No experience needed. Details: http://cheap-deals-online.org"
ham,"Hi all, please note that the office will be closed on Wednesday."
ham,Your order for book has been confirmed. Track your delivery online.
spam,Congratulations! You won 200 Free Bitcoin. Redeem at http://secure-verify-account.net now before offer expires.
spam,Urgent response requested: I am Barrister Eric Mensah representing late client with $10.5M deposit. Reply with full details for transfer share.
spam,ALERT: Your Apple ID account is blocked. Verify at http://secure-verify-account.net immediately.
spam,ALERT: Your Apple ID account is blocked. Verify at http://cheap-deals-online.org immediately.
ham,Reminder: team standup is scheduled for Friday at this afternoon. See you there!
ham,"Hi Daniel, could you please help me with the API bug fix when you have a moment?"
spam,"Earn $5,000 daily working from home. No experience needed. Details: http://claim-now-win.com"
spam,"Claim your free $5,000 gift card today! Click http://claim-now-win.com to activate."
spam,FINAL NOTICE: Overdue payment for PayPal. Call 0800-123-9988 to prevent legal action.
ham,"Hi Jessica, could you please help me with the API bug fix when you have a moment?"
ham,"Hi John, I updated the pull request based on your feedback. Please take another look when you get a chance."
spam,Exclusive deal! 95% off on luxury Designer Watches. Shop now at http://secure-verify-account.net
ham,Thanks Daniel for sending over the sprint plan. It looks great!
ham,Your order for coffee mug has been confirmed. Track your delivery online.
ham,"Hi Laura, could you please help me with the API bug fix when you have a moment?"
spam,FINAL NOTICE: Overdue payment for PayPal. Call 0800-123-9988 to prevent legal action.
spam,Exclusive deal! 80% off on luxury Ray-Ban Sunglasses. Shop now at http://bit.ly/exclusive-bonus
spam,Exclusive deal! 90% off on luxury Crypto Trading Bot. Shop now at http://cheap-deals-online.org
ham,"Hey Emily, are we still meeting at tomorrow morning for team standup?"
ham,"Hi Laura, can you review the project proposal by 10:00 AM? Let me know your thoughts."
spam,Exclusive deal! 90% off on luxury Crypto Trading Bot. Shop now at http://cheap-deals-online.org
ham,Thanks John for sending over the sprint plan. It looks great!
spam,Congratulations! You've been selected to receive a free $500 Amazon Voucher. Call 0800 123 4567 to claim.
ham,"Hey Emily, are we still meeting at 4:30 PM for team standup?"
spam,Claim your free $500 gift card today! Click http://cheap-deals-online.org to activate.
spam,URGENT: Verify your details to win Tesla Model 3! Click http://cheap-deals-online.org or call 1-800-555-0199
spam,"Earn $2,500 daily working from home. No experience needed. Details: http://bit.ly/exclusive-bonus"
ham,"Hi Emily, can you review the sprint plan by 10:00 AM? Let me know your thoughts."
ham,"Hi Sarah, could you please help me with the API bug fix when you have a moment?"
ham,"Hey Michael, are we still meeting at this afternoon for code review session?"
ham,Reminder: coffee break is scheduled for Monday at tomorrow morning. See you there!
spam,URGENT: Reply YES to win Tesla Model 3! Click http://claim-now-win.com or call 0800-123-9988
ham,Thanks Emily for sending over the sprint plan. It looks great!
ham,"Hi team, please find attached the financial summary for our project sync."
spam,Congratulations! You won Tesla Model 3. Redeem at http://cheap-deals-online.org now before offer expires.
spam,"Low rate pre-approved personal loan up to $50,000! Zero processing fee. Apply in 2 minutes: http://quick-cash-loans-online.com"
ham,"Hi team, please find attached the project proposal for our project sync."
ham,"Hi Alex, can you review the meeting notes by 4:30 PM? Let me know your thoughts."
spam,ALERT: Your Bank of America account is blocked. Verify at http://cheap-deals-online.org immediately.
spam,"Earn $2,500 daily working from home. No experience needed. Details: http://claim-now-win.com"
ham,Your order for keyboard has been confirmed. Track your delivery online.
ham,Thanks Emily for sending over the sprint plan. It looks great!
ham,Your order for keyboard has been confirmed. Track your delivery online.
ham,Reminder: team standup is scheduled for Wednesday at 2:00 PM. See you there!
spam,Get cheap Crypto Trading Bot with free shipping worldwide! Order at http://cheap-deals-online.org
ham,Reminder: coffee break is scheduled for next Tuesday at 10:00 AM. See you there!
ham,"Hey Laura, are we still meeting at this afternoon for lunch?"
spam,"Claim your free $5,000 gift card today! Click http://cheap-deals-online.org to activate."
ham,"Hey David, are we still meeting at 2:00 PM for code review session?"
ham,"Hey Daniel, are we still meeting at this afternoon for team standup?"
spam,Exclusive deal! 80% off on luxury Ray-Ban Sunglasses. Shop now at http://claim-now-win.com
ham,"Hi team, please find attached the design mockups for our project sync."
ham,Reminder: coffee break is scheduled for Wednesday at 10:00 AM. See you there!
spam,Exclusive deal! 80% off on luxury Viagra & Cialis. Shop now at http://cheap-deals-online.org
spam,Make $500 an hour trading forex and options with automatic AI trading bot. 100% win rate guaranteed!
ham,"Hi all, please note that the office will be closed on next Tuesday."
ham,"Hi all, please note that the office will be closed on next Tuesday."
spam,"Earn $1,000 daily working from home. No experience needed. Details: http://bit.ly/exclusive-bonus"
spam,ALERT: Your Wells Fargo account is blocked. Verify at http://secure-verify-account.net immediately.
spam,ALERT: Your Wells Fargo account is blocked. Verify at http://secure-verify-account.net immediately.
ham,"Hi Jessica, can you review the meeting notes by 4:30 PM? Let me know your thoughts."
ham,"Hi all, please note that the office will be closed on Wednesday."
ham,Thanks John for sending over the meeting notes. It looks great!
ham,"Hi team, please find attached the design mockups for our project sync."
ham,"Hey, I left my laptop charger in conference room B. Could you check if it's still on the table?"
spam,FINAL NOTICE: Overdue payment for Amazon. Call 0871-240-0010 to prevent legal action.
spam,Exclusive deal! 80% off on luxury Designer Watches. Shop now at http://cheap-deals-online.org
ham,"Hi team, please find attached the quarterly report for our project sync."
spam,ALERT: Your Netflix account is blocked. Verify at http://bit.ly/exclusive-bonus immediately.
ham,"Hi all, please note that the office will be closed on Wednesday."
ham,"Hi Alex, could you please help me with the UI alignment when you have a moment?"
spam,ALERT: Your Amazon account is blocked. Verify at http://cheap-deals-online.org immediately.
ham,Your order for book has been confirmed. Track your delivery online.
spam,"Claim your free $5,000 gift card today! Click http://claim-now-win.com to activate."
spam,You have won a free pass to the International Crypto Summit! Register now to receive 500 free tokens.
spam,Exclusive deal! 70% off on luxury Designer Watches. Shop now at http://bit.ly/exclusive-bonus
spam,"Earn $1,000 daily working from home. No experience needed. Details: http://secure-verify-account.net"
spam,FINAL NOTICE: Overdue payment for Bank of America. Call 0906-778-900 to prevent legal action.
ham,Reminder: team standup is scheduled for Monday at this afternoon. See you there!
spam,Exclusive deal! 70% off on luxury Ray-Ban Sunglasses. Shop now at http://cheap-deals-online.org
